2025-12-15 02:14:59,298 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00051434.
2025-12-15 02:14:59,304 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00051434 to staging bucket at staging/from_20250506_to_20250730/ADJ-00051434.html.
2025-12-15 02:14:59,306 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00051434 into staging collection.
2025-12-15 02:14:59,314 | INFO | HTML Transformation: Applied HTML cleaning for item ID  ADJ-00054398.
2025-12-15 02:14:59,319 | INFO | File Uploaded to Staging: Uploaded item ID  ADJ-00054398 to staging bucket at staging/from_20250506_to_20250730/ ADJ-00054398.html.
2025-12-15 02:14:59,320 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID  ADJ-00054398 into staging collection.
2025-12-15 02:14:59,328 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00057098.
2025-12-15 02:14:59,337 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00057098 to staging bucket at staging/from_20250506_to_20250730/ADJ-00057098.html.
2025-12-15 02:14:59,339 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00057098 into staging collection.
2025-12-15 02:14:59,349 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00037923.
2025-12-15 02:14:59,356 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00037923 to staging bucket at staging/from_20250506_to_20250730/ADJ-00037923.html.
2025-12-15 02:14:59,358 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00037923 into staging collection.
2025-12-15 02:14:59,367 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00037922.
2025-12-15 02:14:59,375 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00037922 to staging bucket at staging/from_20250506_to_20250730/ADJ-00037922.html.
2025-12-15 02:14:59,377 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00037922 into staging collection.
2025-12-15 02:14:59,389 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00051525.
2025-12-15 02:14:59,396 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00051525 to staging bucket at staging/from_20250506_to_20250730/ADJ-00051525.html.
2025-12-15 02:14:59,397 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00051525 into staging collection.
2025-12-15 02:14:59,404 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00056558.
2025-12-15 02:14:59,409 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00056558 to staging bucket at staging/from_20250506_to_20250730/ADJ-00056558.html.
2025-12-15 02:14:59,410 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00056558 into staging collection.
2025-12-15 02:14:59,417 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00051191.
2025-12-15 02:14:59,421 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00051191 to staging bucket at staging/from_20250506_to_20250730/ADJ-00051191.html.
2025-12-15 02:14:59,423 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00051191 into staging collection.
2025-12-15 02:14:59,432 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00054909.
2025-12-15 02:14:59,437 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00054909 to staging bucket at staging/from_20250506_to_20250730/ADJ-00054909.html.
2025-12-15 02:14:59,438 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00054909 into staging collection.
2025-12-15 02:14:59,444 | INFO | HTML Transformation: Applied HTML cleaning for item ID IR - SC - 00001938.
2025-12-15 02:14:59,447 | INFO | File Uploaded to Staging: Uploaded item ID IR - SC - 00001938 to staging bucket at staging/from_20250506_to_20250730/IR - SC - 00001938.html.
2025-12-15 02:14:59,448 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID IR - SC - 00001938 into staging collection.
2025-12-15 02:14:59,454 | INFO | HTML Transformation: Applied HTML cleaning for item ID IR - SC - 00002799.
2025-12-15 02:14:59,458 | INFO | File Uploaded to Staging: Uploaded item ID IR - SC - 00002799 to staging bucket at staging/from_20250506_to_20250730/IR - SC - 00002799.html.
2025-12-15 02:14:59,459 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID IR - SC - 00002799 into staging collection.
2025-12-15 02:14:59,465 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00050419.
2025-12-15 02:14:59,470 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00050419 to staging bucket at staging/from_20250506_to_20250730/ADJ-00050419.html.
2025-12-15 02:14:59,472 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00050419 into staging collection.
2025-12-15 02:14:59,509 | INFO | HTML Transformation: Applied HTML cleaning for item ID RPD2510 .
2025-12-15 02:14:59,516 | INFO | File Uploaded to Staging: Uploaded item ID RPD2510  to staging bucket at staging/from_20250506_to_20250730/RPD2510 .html.
2025-12-15 02:14:59,519 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID RPD2510  into staging collection.
2025-12-15 02:14:59,529 | INFO | HTML Transformation: Applied HTML cleaning for item ID IR - SC - 00003073.
2025-12-15 02:14:59,536 | INFO | File Uploaded to Staging: Uploaded item ID IR - SC - 00003073 to staging bucket at staging/from_20250506_to_20250730/IR - SC - 00003073.html.
2025-12-15 02:14:59,538 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID IR - SC - 00003073 into staging collection.
2025-12-15 02:14:59,556 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00049895.
2025-12-15 02:14:59,563 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00049895 to staging bucket at staging/from_20250506_to_20250730/ADJ-00049895.html.
2025-12-15 02:14:59,564 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00049895 into staging collection.
2025-12-15 02:14:59,572 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00050866.
2025-12-15 02:14:59,578 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00050866 to staging bucket at staging/from_20250506_to_20250730/ADJ-00050866.html.
2025-12-15 02:14:59,579 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00050866 into staging collection.
2025-12-15 02:14:59,587 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00026226.
2025-12-15 02:14:59,592 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00026226 to staging bucket at staging/from_20250506_to_20250730/ADJ-00026226.html.
2025-12-15 02:14:59,593 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00026226 into staging collection.
2025-12-15 02:14:59,609 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00049097.
2025-12-15 02:14:59,617 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00049097 to staging bucket at staging/from_20250506_to_20250730/ADJ-00049097.html.
2025-12-15 02:14:59,618 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00049097 into staging collection.
2025-12-15 02:14:59,626 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00056428.
2025-12-15 02:14:59,631 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00056428 to staging bucket at staging/from_20250506_to_20250730/ADJ-00056428.html.
2025-12-15 02:14:59,632 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00056428 into staging collection.
2025-12-15 02:14:59,638 | INFO | HTML Transformation: Applied HTML cleaning for item ID LCR23137.
2025-12-15 02:14:59,644 | INFO | File Uploaded to Staging: Uploaded item ID LCR23137 to staging bucket at staging/from_20250506_to_20250730/LCR23137.html.
2025-12-15 02:14:59,645 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID LCR23137 into staging collection.
2025-12-15 02:14:59,651 | INFO | HTML Transformation: Applied HTML cleaning for item ID LCR23136.
2025-12-15 02:14:59,655 | INFO | File Uploaded to Staging: Uploaded item ID LCR23136 to staging bucket at staging/from_20250506_to_20250730/LCR23136.html.
2025-12-15 02:14:59,656 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID LCR23136 into staging collection.
2025-12-15 02:14:59,663 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00051082.
2025-12-15 02:14:59,668 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00051082 to staging bucket at staging/from_20250506_to_20250730/ADJ-00051082.html.
2025-12-15 02:14:59,669 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00051082 into staging collection.
2025-12-15 02:14:59,677 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00051954.
2025-12-15 02:14:59,683 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00051954 to staging bucket at staging/from_20250506_to_20250730/ADJ-00051954.html.
2025-12-15 02:14:59,685 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00051954 into staging collection.
2025-12-15 02:14:59,694 | INFO | HTML Transformation: Applied HTML cleaning for item ID ADJ-00049928.
2025-12-15 02:14:59,702 | INFO | File Uploaded to Staging: Uploaded item ID ADJ-00049928 to staging bucket at staging/from_20250506_to_20250730/ADJ-00049928.html.
2025-12-15 02:14:59,717 | INFO | Metadata Upserted to Staging: Upserted metadata for item ID ADJ-00049928 into staging collection.
2025-12-15 02:14:59,726 | INFO | HTML Transformation: Applied HTML cleaning for item ID LCR23133.
